paper_citekey,paper_title,topic
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Beta quantization
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Curvature Feedback
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Effective Metric
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Emergent Mass
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Entropy
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Entropy-stabilized fields
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Gauge emergence
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",General Relativity
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Geometry
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Informational physics
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Nonlinear Dynamics
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Nonlinear geometry
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Quantum Field Theory
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Quantum emergence
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Spacetime Emergence
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Spinor topology
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Unified Field Theory
reyesGeometryResonanceWave2025,"The Geometry of Resonance: Wave Confinement Theory and the Emergence of Mass, Force, and Spacetime",Wave Confinement Theory
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Cosmological Constant
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Curvature Feedback
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Effective Metric
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Emergent Mass
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Entropy-stabilized fields
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Fine-Structure Constant
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Fundamental constants
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Gravitational Constant
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Informational geometry
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Planck Constant
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Speed of Light
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Unified Field Theory
reyesStructureDerivationPhysical2025,Structure and Derivation of Physical Constants through Wave Confinement,Wave Confinement Theory
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Artificial mass generation
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Beta quantization
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Curvature Locking
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Entropy decay
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Experimental physics
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Light-induced resonance
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Optical coherence
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Photonic mass
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Topological Confinement
reyesObservationLongLivedPhoton2025,Observation of Long-Lived Photon Resonance Confinement in Water Cavities,Wave Confinement Theory
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Cook-Levin reduction
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Curvature complexity
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Expander graphs
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Geometric complexity
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Model-relative lower bounds
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,NC Circuits
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,NC¹ circuits
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,NP Verification
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,NP_WCC
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Non-natural proofs
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Non-relativizing arguments
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,P vs NP
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,P_WCC
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Wave Computation
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Wave Confinement Theory
reyesVsNPCurvatureBounded2025,P vs NP in Curvature-Bounded Wave Computation: A Model-Relative P_WCC ≠ NP_WCC Separation,Wave Curvature Computation
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Conservation Laws
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Continuum Limits
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",D4 Discrete Model
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Finite-k Selection
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Lyapunov Band-Pass
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Nonlinear Dynamics
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Null Flow
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Pattern Formation
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Phase-Flux Field
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Shell Quantization
reyesPhaseFluxFieldPFF2025,"Phase-Flux Field (PFF): Axiomatic Substrate for Wave Confinement Theory Zero-Wave Invariance, Finite-k Lyapunov Band-Pass, Shell Quantization, and D4 to Continuum",Wave Confinement Theory
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Coherence feedback
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Curvature dynamics
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Entropy regulation
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Intelligent resonance
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Non-Gradient AI
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Resonance confinement
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Resonance encoding
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Survivability architecture
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Symbolic AGI
reyesResonanceConfinementArchitecturePhysically2025,Resonance-Confinement Architecture: A Physically Bounded Substrate for Safe Superintelligence,Symbolic persistence
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Coherence Collapse
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Complex Ginzburg-Landau
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Curvature Feedback
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Emergent Order
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Entropic Eigenmodes
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Fourier Band Selection
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Ginzburg-Landau
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Lyapunov Descent
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Spectral Entropy
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Swift-Hohenberg
reyesSelfEmergentFourierCymatics2025,Self-Emergent Fourier Cymatics: Entropic Eigenmodes out of Chaos,Wave Confinement Theory
reyesHardUpperBound2025,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Continuum PDE
reyesHardUpperBound2025,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Curvature-Feedback Instability
reyesHardUpperBound2025,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Extra Dimensions
reyesHardUpperBound2025,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Gaussian field
reyesHardUpperBound2025,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Laplacian Scaling
reyesHardUpperBound2025,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Quantum Field Theory Constraints
reyesHardUpperBound2025,Hard Upper Bound on Spatial Dimensionality in Wave Confinement Theory,Spatial Dimension Bound
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Curvature Locking
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Detector Resolution
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Energy Smearing
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Ghost Harmonics
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,JUNO
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Log-Energy Oscillations
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Neutrinos
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Spectral Modulation
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Wave Confinement Theory
reyesJUNOEnergyResolution2025,JUNO Energy Resolution and Detectability of WCT Ghost-Mode Neutrinos,Δm² precision
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Curvature Feedback
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Emergent Mass
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Geometric Inertia
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Hopf Fibration
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Lyapunov Descent
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Nonlinear Dynamics
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Photon Confinement
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,SU(2) Symmetry
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Solenoidal Topology
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Spinor Quantization
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Torsion
reyesEmergenceEffectiveMass2025,Emergence of Effective Mass: Solenoidal Topology of Vibrational Energy,Wave Confinement Theory
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Active-domain winding
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Bounded Poisson likelihood
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,B⁰ → K*⁰ μ⁺μ⁻
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Candidate-spectrum geometry
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Charmonium vetoes
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Discrete scale structure
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Flavor Physics
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Inverse-Koide square-root dilation
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,KDE baseline
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Koide Relation
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Koide comb
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,LHCb
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Log-Periodic Residuals
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Open data
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,P′₅ Anomaly
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Rare B decays
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Scale dilation
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Sideband analysis
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Spectral residuals
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Wave Confinement Theory
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,Wilson Coefficient C₉
reyesLogSpectralStructureKoideLike2026,Log-Spectral Structure and Koide-Like Winding Geometry in Open-Data B⁰ → K*⁰ μ⁺μ⁻ Candidate Spectra,q² Spectrum
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Curvature Harmonics
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Curvature Saturation
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Curvature-Koide Invariant
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Curvature-locked solitons
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Dimensional Stability
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Effective spin
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Eigenmode Spectrum
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Fermion Triplets
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Geometric Mass Ratios
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Geometric Unification
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Koide Relation
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Mass-Phase Geometry
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Nonlinear Wave Confinement
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Poloidal Curvature
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Spin-Curvature Partition
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Theta Operator
