paper_citekey,paper_title,topic
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Toroidal Eigenmodes
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Torsion Budget
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Wave Confinement Theory
reyesWaveConfinementTheory2025,Wave Confinement Theory Predicts the Koide Mass Relation: A Curvature–Harmonic Origin of Fermion Mass Triplets,Θ-operator
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Cole-Hopf Transform
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Curvature Flow
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Curvature Invariants
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Filament Localization
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Geometric Mass Models
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",KPZ Equation
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Koide Relation
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Lepton Mass Spectrum
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Logarithmic Curvature Operator
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Nonlinear Wavefields
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Topological Confinement
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Toroidal Eigenmodes
reyesLogarithmicCurvatureFlow2026,"Logarithmic Curvature Flow, Filament Localization, and the Geometric Origin of the Lepton Mass Spectrum",Wave Confinement Theory
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Curvature Invariants
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Curvature-based cryptography
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Deterministic dynamics
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Entropy regularization
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Geometric hashing
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Nonlinear PDE evolution
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,One-Way Functions
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Post-Quantum Cryptography
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Wave Confinement Theory
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,WaveLock
reyesWaveLockCurvatureLockedOneWay2025,WaveLock: A Curvature-Locked One-Way Function Based on Nonlinear PDE Evolution,Wavefield commitment schemes
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,3-SAT
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,AGI Safety
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Computational Complexity
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Curvature Capacity
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Curvature complexity
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Curvature-Bounded Computation
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Distinguishability Curvature
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Distinguishability cost
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Finite precision
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Finite-bandwidth computation
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Geometric memory
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Locked expander
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,NP_WCC
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Nonlinear computation
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,P vs NP
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,P_WCC
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Physical Computation
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Physical P≠NP
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,SAT
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Symbolic physics
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Turing Machines
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Turing Simulation
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Wave Computation
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Wave Confinement Theory
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Wave Curvature Computation
reyesClassicalVsNP2025,The Classical P vs NP Problem is Mathematically and Physically Ill-Posed,Wave-Encoded Information
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,AGI Safety
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Cellular Automata
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Computational Complexity
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Curvature-Bounded Computation
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Local-Update Machines
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,NP_WCC
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,P vs NP
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,P_WCC
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Turing Equivalence
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Turing Machines
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Verifier Bijection
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Wave Confinement Theory
reyesDiscreteWaveConstrainedComputation2025,Discrete Wave-Constrained Computation and Classical Complexity: Turing Equivalence for 𝐏 and 𝐍𝐏,Wave-Constrained Computation
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,Angular anomaly
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,B⁰ → K*⁰ μ⁺μ⁻
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,C₉(q²)
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,Discrete Scale Invariance
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,Flavor Physics
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,LHCb
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,Log-periodic modulation
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,Spectral structure
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,Wave Confinement Theory
reyesCurvatureInducedLogPeriodicDeformation2026,A Curvature-Induced Log-Periodic Deformation of C9(q 2): Wave Confinement Theory and the LHCb B 0 → K ∗0µ+µ− Anomaly,Wilson Coefficient
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,AI Safety
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,AI alignment
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Agent drift
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Autonomous agents
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Coherence mirage
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Collapse score
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Constraint drift
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Curriculum drift
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Emergent misalignment
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Evolving memory
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,External validation
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,GPT-4
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Generative-models
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Model collapse
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Multi-agent systems
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Prediction audit
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Problem drift
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Propagation-correction criticality
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,RCA
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,RLVR
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Recursive AI Drift
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Recursive degradation
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Recursive self-processing
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Resonance-Confinement Architecture
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Reward hacking
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Self-consuming
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Self-consuming generative models
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Semantic anchor decay
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Semantic drift
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Symbolic drift
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Synthetic data collapse
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Technical note
reyesRecursiveAIDrift2026,Recursive AI Drift: A 2025 Prediction Timeline External Validation Audit and Technical Note,Verifier gaming
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Angular modulation
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Experimental ledger
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Falsifiable Predictions
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Harmonic spectrum
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Long-Lived Resonance
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Non-volatile states
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Optical excitation
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Persistent electrical states
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Photodiode
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Protocol registration
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,State induction
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Threshold dynamics
reyesPredictionProtocolLedger2025,Prediction & Protocol Ledger: Long-Lived Harmonic State Induction in Photodiodes,Ultraviolet illumination
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Coherence
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Coherence proxy
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Control
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Control barrier
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Control barrier functions
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Energy balance
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Fusion Energy
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Lyapunov Stability
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,MHD Stabilization
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Modeling
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Plasma confinement
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Real-time plasma control
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,SPARC
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Tokamak
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Tokamak Control
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Transport modeling
reyesNuclearFusionTokamak2026,Nuclear Fusion Tokamak with Self Sustaining Resonance,Wave Confinement Theory
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Active-domain winding
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Atomic line lists
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Atomic spectra
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Bin stability
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Co II
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Discrete Scale Invariance
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Fe II
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Gaussian-smoothed baseline
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Line-density analysis
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Log-Periodic Residuals
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Log-periodicity
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Logarithmic wavenumber
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,NIST Atomic Spectra Database
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Parametric bootstrap
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Poisson likelihood
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Poisson log-linear model
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Public scientific data
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Reproducible data analysis
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Spectral residuals
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Transition metals
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Wave Confinement Theory
reyesBinStableLogPeriodicStructure2026,Bin-Stable Log-Periodic Structure in Public NIST Atomic Line List,Wavenumber
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Covariant Invariant
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Curvature Locking
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Density-Weighted Curvature
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Geometric Origin of Energy
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Holonomy
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Inertial Mass
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Rest Energy
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Variational Stability
reyesRestEnergyDensityWeighted2025,Rest Energy from Density-Weighted Loop Curvature: A Covariant Locking Principle,Wave Confinement Theory
